ts,bid_px,ask_px,bid_sz,ask_sz
1773754200001059169,240.16,265.62,100.0,100.0
1773754200164070210,240.16,260.79,100.0,300.0
1773754200328958061,252.86,260.79,100.0,300.0
1773754200341037610,252.86,253.09,100.0,100.0
1773754200369371244,240.16,253.09,100.0,100.0
1773754200369395613,240.16,260.79,100.0,300.0
1773754200369703300,252.86,260.79,100.0,300.0
1773754200369802955,252.86,253.09,100.0,100.0
1773754200370386655,240.16,253.09,100.0,100.0
1773754200385428299,252.86,253.09,100.0,100.0
1773754200536807266,240.16,253.09,100.0,100.0
1773754200543682279,252.92,253.09,100.0,100.0
1773754200543731965,252.92,260.79,100.0,300.0
1773754200546790869,252.92,260.79,200.0,300.0
1773754200550961062,252.92,253.09,200.0,100.0
1773754200553913059,252.92,253.09,100.0,100.0
1773754200570049086,252.92,260.79,100.0,300.0
1773754200570073945,252.92,260.79,200.0,300.0
1773754200573831436,252.92,253.09,200.0,100.0
1773754200574660704,252.92,253.09,100.0,100.0
1773754200575214985,240.16,253.09,100.0,100.0
1773754200599828169,252.92,253.09,100.0,100.0
1773754200622688544,240.16,253.09,100.0,100.0
1773754200673040635,252.92,253.09,100.0,100.0
1773754200674084263,240.16,253.09,100.0,100.0
1773754201011184223,240.16,260.79,100.0,300.0
1773754201011612597,240.16,253.09,100.0,100.0
1773754201020027332,240.16,260.79,100.0,300.0
1773754201021056326,240.16,253.09,100.0,100.0
1773754201023061666,240.16,260.79,100.0,300.0
1773754201025357880,240.16,265.62,100.0,100.0
1773754201028406855,246.53,265.62,200.0,100.0
1773754201028479607,246.53,260.79,200.0,200.0
1773754201062940047,246.53,253.09,200.0,100.0
1773754201069861656,246.53,260.79,200.0,200.0
1773754201070578130,252.8,260.79,100.0,200.0
1773754201070601684,252.8,253.0,100.0,100.0
1773754201070755738,252.8,260.79,100.0,200.0
1773754201070908206,246.53,260.79,200.0,200.0
1773754201071157162,252.85,260.79,100.0,200.0
1773754201071297871,246.53,260.79,200.0,200.0
1773754201071549824,252.86,260.79,100.0,200.0
1773754201072169400,246.53,260.79,200.0,200.0
1773754201078263300,246.53,252.96,200.0,100.0
1773754201078375068,246.53,260.79,200.0,200.0
1773754201096432094,252.93,260.79,100.0,200.0
1773754201096573590,246.53,260.79,200.0,200.0
1773754201103908009,252.94,260.79,100.0,200.0
1773754201104134598,246.53,260.79,200.0,200.0
1773754201108440326,252.95,260.79,100.0,200.0
1773754201108579299,246.53,260.79,200.0,200.0
1773754201122584665,252.98,260.79,100.0,200.0
1773754201122665964,246.53,260.79,200.0,200.0
1773754201122690610,252.97,260.79,100.0,200.0
1773754201122782331,246.53,260.79,200.0,200.0
1773754201123067997,252.98,260.79,100.0,200.0
1773754201124142276,246.53,260.79,200.0,200.0
1773754201132605274,252.99,260.79,100.0,200.0
1773754201159743559,252.99,253.08,100.0,100.0
1773754201159830491,246.53,253.08,200.0,100.0
1773754201159879247,252.93,253.08,100.0,100.0
1773754201160013676,252.93,260.79,100.0,200.0
1773754201160105057,246.53,260.79,200.0,200.0
1773754201162047394,252.92,260.79,100.0,200.0
1773754201162067573,246.53,260.79,200.0,200.0
1773754201162547497,246.53,253.09,200.0,100.0
1773754201162690714,246.53,260.79,200.0,200.0
1773754201163233689,252.84,260.79,100.0,200.0
1773754201163326025,246.53,260.79,200.0,200.0
1773754201163690734,252.93,260.79,100.0,200.0
1773754201163814235,246.53,260.79,200.0,200.0
1773754201163925777,246.53,253.08,200.0,100.0
1773754201164900844,246.53,260.79,200.0,200.0
1773754201169487505,252.94,260.79,100.0,200.0
1773754201170393761,246.53,260.79,200.0,200.0
1773754201172936650,252.94,260.79,100.0,200.0
1773754201173533647,246.53,260.79,200.0,200.0
1773754201173564560,246.53,253.1,200.0,100.0
1773754201174407888,246.53,260.79,200.0,200.0
1773754201174434155,246.53,253.1,200.0,100.0
1773754201175131437,246.53,260.79,200.0,200.0
1773754201175159331,252.94,260.79,100.0,200.0
1773754201175224609,252.93,260.79,100.0,200.0
1773754201175297879,246.53,260.79,200.0,200.0
1773754201175322295,246.53,253.09,200.0,100.0
1773754201175529117,252.93,253.09,100.0,100.0
1773754201175595813,252.93,260.79,100.0,200.0
1773754201176189806,252.93,260.79,200.0,200.0
1773754201176198850,252.93,260.79,100.0,200.0
1773754201176696508,246.53,260.79,200.0,200.0
1773754201176727372,252.93,260.79,100.0,200.0
1773754201177248124,246.53,260.79,200.0,200.0
1773754201177494024,252.94,260.79,100.0,200.0
1773754201177514109,252.94,253.09,100.0,100.0
1773754201177707359,252.94,260.79,100.0,200.0
1773754201178515702,252.96,260.79,100.0,200.0
1773754201178567148,252.96,260.79,200.0,200.0
1773754201178616517,252.96,260.79,100.0,200.0
1773754201178668842,246.53,260.79,200.0,200.0
1773754201178690650,252.96,260.79,100.0,200.0
1773754201178943182,246.53,260.79,200.0,200.0
1773754201178967568,252.96,260.79,100.0,200.0
1773754201179489465,246.53,260.79,200.0,200.0
1773754201179515408,253.01,260.79,100.0,200.0
1773754201179753983,246.53,260.79,200.0,200.0
1773754201179924405,253.02,260.79,100.0,200.0
1773754201180567971,246.53,260.79,200.0,200.0
1773754201180594176,253.02,260.79,100.0,200.0
1773754201180830750,246.53,260.79,200.0,200.0
1773754201181090821,253.02,260.79,100.0,200.0
1773754201181197933,253.02,260.79,200.0,200.0
1773754201181246574,253.02,260.79,100.0,200.0
1773754201181360836,246.53,260.79,200.0,200.0
1773754201181460870,253.02,260.79,100.0,200.0
1773754201181563363,246.53,260.79,200.0,200.0
1773754201181699403,253.02,260.79,100.0,200.0
1773754201181789744,246.53,260.79,200.0,200.0
1773754201182653755,253.02,260.79,100.0,200.0
1773754201183206057,253.07,260.79,100.0,200.0
1773754201183454709,246.53,260.79,200.0,200.0
1773754201184611479,253.03,260.79,100.0,200.0
1773754201185034109,246.53,260.79,200.0,200.0
1773754201196817817,253.04,260.79,100.0,200.0
1773754201196953528,246.53,260.79,200.0,200.0
1773754201211962568,253.03,260.79,100.0,200.0
1773754201211983319,246.53,260.79,200.0,200.0
1773754201212473508,253.03,260.79,100.0,200.0
1773754201212557361,246.53,260.79,200.0,200.0
1773754201219497469,246.53,253.13,200.0,100.0
1773754201219629183,246.53,253.16,200.0,100.0
1773754201219694461,246.53,260.79,200.0,200.0
1773754201222077267,253.0,260.79,100.0,200.0
1773754201222159632,246.53,260.79,200.0,200.0
1773754201222247781,253.0,260.79,100.0,200.0
1773754201222428295,246.53,260.79,200.0,200.0
1773754201222818990,246.53,253.25,200.0,100.0
1773754201222840804,253.07,253.25,100.0,100.0
1773754201223603210,253.07,260.79,100.0,200.0
1773754201229441400,253.06,260.79,100.0,200.0
1773754201229589248,246.53,260.79,200.0,200.0
1773754201229626064,253.06,260.79,100.0,200.0
1773754201229790118,246.53,260.79,200.0,200.0
1773754201229871157,253.01,260.79,100.0,200.0
1773754201229960226,246.53,260.79,200.0,200.0
1773754201230084729,253.01,260.79,100.0,200.0
1773754201230111227,246.53,260.79,200.0,200.0
1773754201230285021,253.01,260.79,100.0,200.0
1773754201230761865,253.0,260.79,100.0,200.0
1773754201231169955,246.53,260.79,200.0,200.0
1773754201231435429,253.0,260.79,100.0,200.0
1773754201232263715,246.53,260.79,200.0,200.0
1773754201232327833,253.0,260.79,100.0,200.0
1773754201233507247,246.53,260.79,200.0,200.0
1773754201233603194,253.12,260.79,100.0,200.0
1773754201233742449,253.1,260.79,100.0,200.0
1773754201234115058,246.53,260.79,200.0,200.0
1773754201234139523,253.11,260.79,100.0,200.0
1773754201234157325,246.53,260.79,200.0,200.0
1773754201234183476,253.1,260.79,100.0,200.0
1773754201234396914,246.53,260.79,200.0,200.0
1773754201234424001,253.11,260.79,100.0,200.0
1773754201234873490,246.53,260.79,200.0,200.0
1773754201236233618,253.12,260.79,100.0,200.0
1773754201239259023,246.53,260.79,200.0,200.0
1773754201239341670,253.12,260.79,100.0,200.0
1773754201239476488,253.12,253.18,100.0,100.0
