ts,open_px,high_px,low_px,close_px,volume
1773754200000,672.375,672.61,671.93,672.6,3032.0
1773754260000,672.63,672.8,672.38,672.8,5198.0
1773754320000,672.77,673.5,672.77,673.5,3616.0
1773754380000,673.46,673.56,673.355,673.55,3412.0
1773754440000,673.715,673.715,673.35,673.46,3584.0
1773754500000,673.535,673.66,673.39,673.48,3422.0
1773754560000,673.575,673.605,673.39,673.395,4405.0
1773754620000,673.415,673.48,673.215,673.375,15235.0
1773754680000,673.355,673.655,673.325,673.655,3260.0
1773754740000,673.53,673.77,673.53,673.75,775.0
1773754800000,673.885,673.885,673.45,673.5,2436.0
1773754860000,673.48,673.95,673.48,673.94,1813.0
1773754920000,673.9,673.94,673.65,673.65,2434.0
1773754980000,673.665,673.87,673.61,673.845,4397.0
1773755040000,673.765,673.8,673.48,673.51,2408.0
1773755100000,673.48,673.865,673.48,673.865,1270.0
1773755160000,673.99,674.4,673.99,674.31,2308.0
1773755220000,674.26,674.3,674.155,674.19,1816.0
1773755280000,674.17,674.345,674.16,674.345,2594.0
1773755340000,674.325,674.35,674.13,674.23,1535.0
1773755400000,674.16,674.235,673.97,673.97,1168.0
1773755460000,673.96,674.11,673.96,673.97,3262.0
1773755520000,673.93,674.0,673.69,673.805,15015.0
1773755580000,673.89,673.93,673.79,673.81,2633.0
1773755640000,673.735,674.1,673.735,674.05,2509.0
1773755700000,674.03,674.12,673.99,674.115,1783.0
1773755760000,674.16,674.16,673.99,674.1,2528.0
1773755820000,674.08,674.11,673.73,673.75,3829.0
1773755880000,673.76,673.88,673.66,673.77,7413.0
1773755940000,673.74,673.85,673.685,673.85,3369.0
1773756000000,673.91,673.91,673.47,673.47,2630.0
1773756060000,673.5,673.57,673.39,673.415,3849.0
1773756120000,673.59,673.595,673.195,673.195,4377.0
1773756180000,673.16,673.225,673.01,673.045,2562.0
1773756240000,673.065,673.37,673.065,673.21,1734.0
1773756300000,673.17,673.48,673.17,673.375,5814.0
1773756360000,673.31,673.475,673.29,673.435,2441.0
1773756420000,673.42,673.42,673.42,673.42,198.0
1773756480000,673.18,673.53,673.155,673.375,3546.0
1773756540000,673.245,673.4,673.24,673.29,818.0
1773756600000,673.305,673.305,672.96,672.96,8207.0
1773756660000,672.915,672.935,672.55,672.55,1296.0
1773756720000,672.555,672.565,672.52,672.56,1763.0
1773756780000,672.605,672.67,672.555,672.555,1874.0
1773756840000,672.535,672.56,672.43,672.43,1115.0
1773756900000,672.26,672.32,672.09,672.18,2721.0
1773756960000,672.21,672.21,672.08,672.09,511.0
1773757020000,672.25,672.315,671.605,671.605,3553.0
1773757080000,671.65,672.225,671.65,672.225,5200.0
1773757140000,672.44,672.6,672.27,672.6,4386.0
1773757200000,672.565,672.87,672.395,672.845,3866.0
1773757260000,672.75,672.79,672.52,672.79,4222.0
1773757320000,672.81,672.81,672.39,672.39,3085.0
